,act,pow,img,round
0,push,0.5,Car race 3,0
1,push,0.5,Car race 3,0
2,push,0.5,Car race 3,0
3,push,0.5,Car race 3,0
4,push,0.5,Car race 3,0
5,push,0.5,Car race 3,0
6,push,0.5,Car race 3,0
7,push,0.5,Car race 3,0
8,push,0.5,Car race 3,0
9,push,0.5,Car race 3,0
10,push,0.5,Car race 3,0
11,push,0.5,Car race 3,0
12,push,0.5,Car race 3,0
13,push,0.5,Car race 3,0
14,push,0.5,Car race 3,0
15,push,0.5,Car race 3,0
16,push,0.5,Car race 3,0
17,push,0.5,Car race 3,0
18,push,0.5,Car race 3,0
19,push,0.5,Car race 3,0
20,push,0.5,Car race 3,0
21,push,0.5,Car race 3,0
22,push,0.5,Car race 3,0
23,push,0.5,Car race 3,0
24,push,0.5,Car race 3,0
25,push,0.5,Car race 3,0
26,push,0.5,Car race 3,0
27,push,0.5,Car race 3,0
28,push,0.5,Car race 3,0
29,push,0.5,Car race 3,0
30,push,0.5,Car race 3,0
31,push,0.5,Car race 3,0
32,push,0.5,Car race 3,0
33,push,0.5,Car race 3,0
34,push,0.5,Car race 3,0
35,push,0.5,Car race 3,0
36,push,0.5,Car race 3,0
37,push,0.5,Car race 3,0
38,push,0.5,Car race 3,0
39,push,0.5,Car race 3,0
40,push,0.5,Car race 3,0
41,push,0.5,Car race 3,0
42,push,0.5,Car race 3,0
43,push,0.5,Car race 3,0
44,push,0.5,Car race 3,0
45,push,0.5,Car race 3,0
46,push,0.5,Car race 3,0
47,push,0.5,Car race 3,0
48,push,0.5,Car race 3,0
49,push,0.5,Car race 3,0
50,push,0.5,Car race 3,0
51,push,0.5,Car race 3,0
52,push,0.5,Car race 3,0
53,push,0.5,Car race 3,0
54,push,0.5,Car race 3,0
55,push,0.5,Car race 3,0
56,push,0.5,Car race 3,0
57,push,0.5,Car race 3,0
58,push,0.5,Car race 3,0
59,push,0.5,Car race 3,0
60,push,0.5,Car race 3,0
61,push,0.5,Car race 3,0
62,push,0.5,Car race 3,0
63,push,0.5,Car race 3,0
64,push,0.5,Car race 3,0
65,push,0.5,Car race 3,0
66,push,0.5,Car race 3,0
67,push,0.5,Car race 3,0
68,push,0.5,Car race 3,0
69,push,0.5,Car race 3,0
70,push,0.5,Car race 3,0
71,push,0.5,Car race 3,0
72,push,0.5,Car race 3,0
73,push,0.5,Car race 3,0
74,push,0.5,Car race 3,0
75,push,0.5,Car race 3,0
76,push,0.5,Car race 3,0
77,push,0.5,Car race 3,0
78,push,0.5,Car race 2,0
79,push,0.5,Car race 2,0
80,push,0.5,Car race 2,0
81,push,0.5,Car race 2,0
82,push,0.5,Car race 2,0
83,push,0.5,Car race 2,0
84,push,0.5,Car race 2,0
85,push,0.5,Car race 2,0
86,push,0.5,Car race 2,0
87,push,0.5,Car race 2,0
88,push,0.5,Car race 2,0
89,push,0.5,Car race 2,0
90,push,0.5,Car race 2,0
91,push,0.5,Car race 2,0
92,push,0.5,Car race 2,0
93,push,0.5,Car race 2,0
94,push,0.5,Car race 2,0
95,push,0.5,Car race 2,0
96,push,0.5,Car race 2,0
97,push,0.5,Car race 2,0
98,push,0.5,Car race 2,0
99,push,0.5,Car race 2,0
100,push,0.5,Car race 2,0
101,push,0.5,Car race 2,0
102,push,0.5,Car race 2,0
103,push,0.5,Car race 2,0
104,push,0.5,Car race 2,0
105,push,0.5,Car race 2,0
106,push,0.5,Car race 2,0
107,push,0.5,Car race 2,0
108,push,0.5,Car race 2,0
109,push,0.5,Car race 2,0
110,push,0.5,Car race 2,0
111,push,0.5,Car race 2,0
112,push,0.5,Car race 2,0
113,push,0.5,Car race 2,0
114,push,0.5,Car race 2,0
