,eyeAct,uAct,uPow,lAct,lPow,img,round
0,neutral,neutral,0.0,neutral,0.0,neutral,0
1,neutral,neutral,0.0,neutral,0.0,neutral,0
2,neutral,neutral,0.0,neutral,0.0,neutral,0
3,neutral,neutral,0.0,neutral,0.0,neutral,0
4,neutral,neutral,0.0,neutral,0.0,neutral,0
5,neutral,neutral,0.0,neutral,0.0,neutral,0
6,neutral,neutral,0.0,neutral,0.0,neutral,0
7,neutral,neutral,0.0,neutral,0.0,neutral,0
8,neutral,neutral,0.0,neutral,0.0,neutral,0
9,neutral,neutral,0.0,neutral,0.0,neutral,0
10,neutral,neutral,0.0,neutral,0.0,neutral,0
11,neutral,neutral,0.0,neutral,0.0,neutral,0
12,neutral,neutral,0.0,neutral,0.0,neutral,0
13,neutral,neutral,0.0,neutral,0.0,neutral,0
14,neutral,neutral,0.0,neutral,0.0,neutral,0
15,neutral,neutral,0.0,neutral,0.0,neutral,0
16,neutral,neutral,0.0,neutral,0.0,neutral,0
17,neutral,neutral,0.0,neutral,0.0,neutral,0
18,neutral,neutral,0.0,neutral,0.0,neutral,0
19,neutral,neutral,0.0,neutral,0.0,neutral,0
20,neutral,neutral,0.0,neutral,0.0,neutral,0
21,neutral,neutral,0.0,neutral,0.0,neutral,0
22,neutral,neutral,0.0,neutral,0.0,neutral,0
23,neutral,neutral,0.0,neutral,0.0,neutral,0
24,neutral,neutral,0.0,neutral,0.0,neutral,0
25,neutral,neutral,0.0,neutral,0.0,neutral,0
26,neutral,neutral,0.0,neutral,0.0,neutral,0
27,neutral,neutral,0.0,neutral,0.0,neutral,0
28,neutral,neutral,0.0,neutral,0.0,neutral,0
29,neutral,neutral,0.0,neutral,0.0,neutral,0
30,neutral,neutral,0.0,neutral,0.0,neutral,0
31,neutral,neutral,0.0,neutral,0.0,neutral,0
32,neutral,neutral,0.0,neutral,0.0,neutral,0
33,neutral,neutral,0.0,neutral,0.0,neutral,0
34,neutral,neutral,0.0,neutral,0.0,neutral,0
35,neutral,neutral,0.0,neutral,0.0,neutral,0
36,neutral,neutral,0.0,neutral,0.0,neutral,0
37,neutral,neutral,0.0,neutral,0.0,neutral,0
38,neutral,neutral,0.0,neutral,0.0,neutral,0
39,neutral,neutral,0.0,neutral,0.0,neutral,0
40,neutral,neutral,0.0,neutral,0.0,neutral,0
41,neutral,neutral,0.0,neutral,0.0,neutral,0
42,neutral,neutral,0.0,neutral,0.0,neutral,0
43,neutral,neutral,0.0,neutral,0.0,neutral,0
44,neutral,neutral,0.0,neutral,0.0,neutral,0
45,neutral,neutral,0.0,neutral,0.0,neutral,0
46,neutral,neutral,0.0,neutral,0.0,neutral,0
