,COUNTER_MEMS,INTERPOLATED_MEMS,Q0,Q1,Q2,Q3,ACCX,ACCY,ACCZ,MAGX,MAGY,MAGZ,img,round
0,12,0,0.473132,0.366089,-0.628479,0.497131,0.943475,-0.272006,-0.049811,-32.478794,-7.820313,75.58699,Car race 3,0
1,13,0,0.473435,0.365967,-0.628418,0.497009,0.943475,-0.272006,-0.049811,-32.462826,-7.88612,75.677124,Car race 3,0
2,14,0,0.473658,0.365845,-0.628418,0.496887,0.943963,-0.280308,-0.049811,-32.68322,-8.001091,75.555138,Car race 3,0
3,15,0,0.473722,0.365784,-0.628357,0.496948,0.94201,-0.281773,-0.058113,-32.681744,-8.15755,75.601334,Car race 3,0
4,16,0,0.474025,0.365601,-0.628235,0.496948,0.942498,-0.271029,-0.056159,-32.62888,-8.057615,75.595413,Car race 3,0
5,17,0,0.474247,0.365479,-0.628235,0.496826,0.942498,-0.271029,-0.056159,-32.58606,-7.976669,75.590614,Car race 3,0
6,18,0,0.474341,0.365356,-0.628235,0.496826,0.961543,-0.277866,-0.048834,-32.71804,-8.184435,75.300064,Car race 3,0
7,19,0,0.474435,0.365234,-0.628235,0.496826,0.961543,-0.277866,-0.048834,-32.658279,-8.269392,75.31472,Car race 3,0
8,20,0,0.474388,0.365295,-0.628235,0.496826,0.938103,-0.268587,-0.046881,-32.721539,-8.344874,75.164925,Car race 3,0
9,21,0,0.474422,0.365356,-0.628174,0.496826,0.938103,-0.268587,-0.046881,-32.606113,-8.356015,75.34359,Car race 3,0
10,22,0,0.474409,0.365479,-0.628113,0.496826,0.943475,-0.282261,-0.042974,-32.652618,-8.378372,75.57164,Car race 3,0
11,23,0,0.474284,0.365723,-0.628113,0.496765,0.943475,-0.282261,-0.042974,-32.530289,-8.281482,75.52636,Car race 3,0
12,24,0,0.474281,0.36554,-0.628174,0.496826,0.942986,-0.258821,-0.053717,-32.397865,-8.221334,75.459686,Car race 3,0
13,25,0,0.474019,0.366089,-0.628052,0.496826,0.942498,-0.265169,-0.051764,-32.495605,-7.892613,75.344009,Car race 3,0
14,26,0,0.473975,0.366272,-0.62793,0.496887,0.942498,-0.260286,-0.055671,-32.403107,-7.893017,75.44532,Car race 3,0
15,27,0,0.473948,0.366516,-0.627808,0.496887,0.942498,-0.260286,-0.055671,-32.328182,-7.893343,75.527374,Car race 3,0
16,28,0,0.473945,0.366333,-0.627869,0.496948,0.950311,-0.257844,-0.058113,-32.430828,-7.773608,75.423836,Car race 3,0
17,29,0,0.473972,0.36615,-0.628052,0.496826,0.950311,-0.257844,-0.058113,-32.513969,-7.676623,75.339973,Car race 3,0
18,30,0,0.473823,0.365967,-0.628174,0.496948,0.939568,-0.273959,-0.054206,-32.416317,-7.674731,75.290382,Car race 3,0
19,31,0,0.473648,0.366089,-0.628235,0.496948,0.939568,-0.273959,-0.054206,-32.337215,-7.673199,75.250206,Car race 3,0
